type,nmax,nsteps,temp,order,threads,time
python,10,50,0.5,0.6598993439449528,1,0.1321096420288086
python,10,50,0.5,0.41863359560272595,1,0.15433931350708008
python,10,50,0.5,0.8608153451135199,1,0.14315104484558105
python,10,50,0.5,0.8443000337898594,1,0.14721393585205078
python,10,50,0.5,0.6635912802650759,1,0.139603853225708
python,50,50,0.5,0.3702117032935487,1,3.339650869369507
python,50,50,0.5,0.31678921636900376,1,3.289067506790161
python,50,50,0.5,0.4104805756172157,1,3.1614420413970947
python,50,50,0.5,0.305976855547135,1,3.2034592628479004
python,50,50,0.5,0.3191139081048367,1,3.333000898361206
python,100,50,0.5,0.2876538171299955,1,13.156840562820435
python,100,50,0.5,0.30535289946286587,1,13.539231300354004
python,100,50,0.5,0.2586722242388991,1,12.421125411987305
python,100,50,0.5,0.3435375539632405,1,12.28982424736023
python,100,50,0.5,0.32198817899511867,1,12.38466215133667
python,200,50,0.5,0.2911137147442481,1,49.107670307159424
python,200,50,0.5,0.2676785298853892,1,48.80568814277649
python,200,50,0.5,0.2727421029326691,1,48.64892530441284
python,200,50,0.5,0.2778593589855932,1,48.80073142051697
python,200,50,0.5,0.2760851092241159,1,49.297287702560425
python,400,50,0.5,0.2555096812132392,1,198.3983554840088
python,400,50,0.5,0.253397031904068,1,199.64870047569275
python,400,50,0.5,0.26954772025136764,1,198.57509803771973
python,400,50,0.5,0.2690665855948112,1,206.60381722450256
python,400,50,0.5,0.26210733685035764,1,197.6934883594513
cpp,10,50,0,1.54829,1,0.002
cpp,10,50,0,1.24405,1,0.001
cpp,10,50,0,1.10979,1,0.002
cpp,10,50,0,1.52061,1,0.001
cpp,10,50,0,0.825225,1,0.002
cpp,50,50,0,0.563079,1,0.032
cpp,50,50,0,0.552264,1,0.032
cpp,50,50,0,0.613426,1,0.031
cpp,50,50,0,0.623624,1,0.034
cpp,50,50,0,0.619699,1,0.034
cpp,100,50,0,0.506975,1,0.143
cpp,100,50,0,0.527421,1,0.131
cpp,100,50,0,0.542875,1,0.132
cpp,100,50,0,0.528941,1,0.139
cpp,100,50,0,0.512941,1,0.136
cpp,200,50,0,0.533384,1,0.552
cpp,200,50,0,0.526276,1,0.521
cpp,200,50,0,0.542837,1,0.514
cpp,200,50,0,0.525752,1,0.509
cpp,200,50,0,0.535256,1,0.505
cpp,400,50,0,0.514436,1,2.14
cpp,400,50,0,0.517616,1,2.135
cpp,400,50,0,0.518803,1,2.135
cpp,400,50,0,0.512979,1,2.107
cpp,400,50,0,0.526897,1,2.125
cpp,800,50,0,0.502641,1,8.624
cpp,800,50,0,0.502645,1,8.562
cpp,800,50,0,0.50587,1,8.595
cpp,800,50,0,0.502256,1,8.576
cpp,800,50,0,0.501857,1,8.592
numpy,10,50,0.5,0.5821993646942367,1,0.021593809127807617
numpy,10,50,0.5,0.5821993646942367,1,0.02208256721496582
numpy,10,50,0.5,0.5821993646942367,1,0.020635128021240234
numpy,10,50,0.5,0.5821993646942367,1,0.025089502334594727
numpy,10,50,0.5,0.5821993646942367,1,0.02509021759033203
numpy,20,50,0.5,0.37611085087296736,1,0.036676645278930664
numpy,20,50,0.5,0.37611085087296736,1,0.029125213623046875
numpy,20,50,0.5,0.37611085087296736,1,0.03613924980163574
numpy,20,50,0.5,0.37611085087296736,1,0.03511333465576172
numpy,20,50,0.5,0.37611085087296736,1,0.029279232025146484
numpy,50,50,0.5,0.28649852534743986,1,0.08527278900146484
numpy,50,50,0.5,0.28649852534743986,1,0.0818178653717041
numpy,50,50,0.5,0.28649852534743986,1,0.08633804321289062
numpy,50,50,0.5,0.28649852534743986,1,0.08780860900878906
numpy,50,50,0.5,0.28649852534743986,1,0.089813232421875
numpy,100,50,0.5,0.2936267527398038,1,0.2724754810333252
numpy,100,50,0.5,0.2936267527398038,1,0.25934624671936035
numpy,100,50,0.5,0.2936267527398038,1,0.2568023204803467
numpy,100,50,0.5,0.2936267527398038,1,0.2586805820465088
numpy,100,50,0.5,0.2936267527398038,1,0.25948524475097656
numpy,200,50,0.5,0.2673489885337913,1,1.2318267822265625
numpy,200,50,0.5,0.2673489885337913,1,1.2006540298461914
numpy,200,50,0.5,0.2673489885337913,1,1.2100472450256348
numpy,200,50,0.5,0.2673489885337913,1,1.194185495376587
numpy,200,50,0.5,0.2673489885337913,1,1.2003898620605469
numpy,400,50,0.5,0.2613030876495189,1,5.360798597335815
numpy,400,50,0.5,0.2613030876495189,1,5.027931451797485
numpy,400,50,0.5,0.2613030876495189,1,5.1206066608428955
numpy,400,50,0.5,0.2613030876495189,1,5.056878328323364
numpy,400,50,0.5,0.2613030876495189,1,5.10596776008606
numpy_sequential,10,50,0.5,0.8330060176946257,1,0.03514385223388672
numpy_sequential,10,50,0.5,0.8620598752904766,1,0.035059452056884766
numpy_sequential,10,50,0.5,0.7359631072740209,1,0.04080533981323242
numpy_sequential,10,50,0.5,0.3842042587537267,1,0.035974979400634766
numpy_sequential,10,50,0.5,0.5792519127105444,1,0.033110857009887695
numpy_sequential,50,50,0.5,0.28835771916510544,1,0.7503671646118164
numpy_sequential,50,50,0.5,0.3357656518600215,1,0.7298965454101562
numpy_sequential,50,50,0.5,0.34956423198730185,1,0.735701322555542
numpy_sequential,50,50,0.5,0.28386317089730195,1,0.7492539882659912
numpy_sequential,100,50,0.5,0.32174118953949377,1,2.863469362258911
numpy_sequential,100,50,0.5,0.272670713518408,1,2.8758842945098877
numpy_sequential,100,50,0.5,0.30594748572178054,1,2.975980520248413
numpy_sequential,100,50,0.5,0.28427377546140914,1,2.9228572845458984
numpy_sequential,100,50,0.5,0.2874528944174483,1,2.8182671070098877
numpy_sequential,200,50,0.5,0.27337844546661433,1,11.079127073287964
