#=====================================================
# File created:        Tue-29-Oct-2024-at-02-19-08PM
# Size of lattice:     50x50
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        0.157297
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00139    0.4176   -8285.8169  0.3457 
   00140    0.4204   -8318.9138  0.3468 
   00141    0.4192   -8295.8777  0.3474 
   00142    0.4120   -8298.9308  0.3489 
   00143    0.4236   -8352.6542  0.3497 
   00144    0.4192   -8342.7010  0.3462 
   00145    0.4308   -8346.1080  0.3477 
   00146    0.4204   -8304.8017  0.3474 
   00147    0.4208   -8315.3487  0.3483 
   00148    0.4188   -8329.1227  0.3487 
   00149    0.4176   -8283.8061  0.3575 
   00150    0.4016   -8286.5581  0.3521 
   00151    0.4028   -8328.9787  0.3531 
   00152    0.4252   -8349.7687  0.3553 
   00153    0.4100   -8328.3867  0.3552 
   00154    0.4052   -8357.8291  0.3592 
   00155    0.4040   -8371.8410  0.3571 
   00156    0.4112   -8358.8947  0.3656 
   00157    0.4340   -8351.0909  0.3641 
   00158    0.4256   -8397.4704  0.3614 
   00159    0.4264   -8387.0882  0.3616 
   00160    0.4104   -8420.0955  0.3514 
   00161    0.4268   -8392.6392  0.3474 
   00162    0.4404   -8384.3533  0.3406 
   00163    0.4376   -8361.2013  0.3400 
   00164    0.4188   -8391.9754  0.3451 
   00165    0.4164   -8369.5217  0.3444 
   00166    0.3972   -8378.6053  0.3421 
   00167    0.4088   -8390.3845  0.3398 
   00168    0.4232   -8388.1542  0.3415 
   00169    0.4328   -8338.3910  0.3393 
   00170    0.4172   -8366.7047  0.3380 
   00171    0.4220   -8341.8600  0.3408 
   00172    0.4204   -8357.0391  0.3421 
   00173    0.4176   -8370.3283  0.3443 
   00174    0.4112   -8368.6144  0.3400 
   00175    0.4236   -8351.2632  0.3426 
   00176    0.4164   -8376.6886  0.3497 
   00177    0.4180   -8383.7461  0.3506 
   00178    0.4168   -8355.1507  0.3487 
   00179    0.4244   -8350.8059  0.3516 
   00180    0.4292   -8388.4689  0.3552 
   00181    0.4048   -8366.4938  0.3522 
