#=====================================================
# File created:        Tue-29-Oct-2024-at-02-01-33PM
# Size of lattice:     50x50
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        0.128070
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00139    0.4324   -8379.8478  0.3661 
   00140    0.4152   -8360.3449  0.3685 
   00141    0.4096   -8327.8573  0.3655 
   00142    0.4056   -8331.0780  0.3665 
   00143    0.4184   -8360.6377  0.3667 
   00144    0.4312   -8350.1979  0.3678 
   00145    0.4180   -8328.1075  0.3665 
   00146    0.4296   -8320.3950  0.3687 
   00147    0.4216   -8321.6427  0.3629 
   00148    0.4160   -8329.4110  0.3677 
   00149    0.4116   -8316.5357  0.3663 
   00150    0.4192   -8316.8232  0.3651 
   00151    0.4064   -8349.5391  0.3666 
   00152    0.4176   -8374.8235  0.3660 
   00153    0.4020   -8391.1519  0.3686 
   00154    0.4204   -8436.8310  0.3665 
   00155    0.4200   -8388.2691  0.3657 
   00156    0.4004   -8331.0057  0.3637 
   00157    0.4320   -8333.0657  0.3651 
   00158    0.4200   -8330.7732  0.3636 
   00159    0.3920   -8387.0203  0.3648 
   00160    0.4028   -8376.3594  0.3644 
   00161    0.4200   -8348.5066  0.3622 
   00162    0.4240   -8313.9301  0.3649 
   00163    0.4124   -8348.3842  0.3642 
   00164    0.4108   -8375.8087  0.3579 
   00165    0.4132   -8347.3566  0.3538 
   00166    0.4204   -8289.6263  0.3599 
   00167    0.4124   -8343.9009  0.3572 
   00168    0.4112   -8356.9755  0.3631 
   00169    0.4000   -8384.6213  0.3644 
   00170    0.4160   -8391.3923  0.3600 
   00171    0.4224   -8390.3041  0.3605 
   00172    0.4180   -8357.6463  0.3644 
   00173    0.4128   -8363.4895  0.3685 
   00174    0.4328   -8273.2629  0.3615 
   00175    0.4112   -8282.6882  0.3605 
   00176    0.4304   -8315.5369  0.3559 
   00177    0.4184   -8313.1352  0.3520 
   00178    0.4260   -8342.0215  0.3567 
   00179    0.4092   -8378.4204  0.3550 
   00180    0.4212   -8368.6871  0.3583 
   00181    0.4004   -8382.3973  0.3666 
   00182    0.4164   -8402.2956  0.3623 
   00183    0.4160   -8387.4588  0.3674 
   00184    0.4148   -8373.9101  0.3638 
   00185    0.4084   -8402.9487  0.3679 
   00186    0.4328   -8414.2877  0.3726 
   00187    0.4064   -8452.4348  0.3786 
   00188    0.4028   -8482.1510  0.3839 
   00189    0.4252   -8482.7543  0.3806 
   00190    0.4168   -8475.7265  0.3838 
   00191    0.4020   -8466.7193  0.3844 
   00192    0.4104   -8466.2067  0.3980 
   00193    0.4212   -8478.9724  0.3964 
   00194    0.4016   -8467.3455  0.4030 
   00195    0.4280   -8428.2859  0.4088 
   00196    0.4108   -8409.2907  0.4110 
   00197    0.4128   -8401.7538  0.4158 
   00198    0.4080   -8359.8576  0.4181 
   00199    0.4220   -8340.8850  0.4175 
   00200    0.4064   -8356.6515  0.4181 
