#=====================================================
# File created:        Tue-29-Oct-2024-at-02-20-15PM
# Size of lattice:     50x50
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        2.081765
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00139    0.6452   -5145.8663  0.2678 
   00140    0.6296   -5093.0279  0.2619 
   00141    0.6380   -5114.0463  0.2555 
   00142    0.6440   -5150.7204  0.2572 
   00143    0.6408   -5133.8504  0.2628 
   00144    0.6524   -5182.1733  0.2604 
   00145    0.6340   -5146.3691  0.2603 
   00146    0.6348   -5125.0390  0.2536 
   00147    0.6188   -5110.2864  0.2616 
   00148    0.6344   -5001.5125  0.2645 
   00149    0.6672   -4980.5337  0.2827 
   00150    0.6300   -4925.3615  0.2820 
   00151    0.6388   -5028.2420  0.2793 
   00152    0.6196   -5002.0504  0.2822 
   00153    0.6256   -4962.3454  0.2798 
   00154    0.6388   -4911.3030  0.2944 
   00155    0.6292   -4811.6019  0.3023 
   00156    0.6232   -4931.8862  0.2901 
   00157    0.6428   -4887.5038  0.2921 
   00158    0.6044   -4755.5119  0.2976 
   00159    0.6400   -4717.2836  0.2880 
   00160    0.6304   -4852.4173  0.2950 
   00161    0.6312   -4776.8260  0.2955 
   00162    0.6388   -4826.2984  0.2985 
   00163    0.6280   -4830.0437  0.2919 
   00164    0.6408   -4760.9572  0.2817 
   00165    0.6124   -4739.1942  0.2760 
   00166    0.6116   -4812.1638  0.2600 
   00167    0.6440   -4814.7246  0.2687 
   00168    0.6252   -4745.5381  0.2632 
   00169    0.6460   -4724.4373  0.2621 
   00170    0.6160   -4683.1390  0.2670 
   00171    0.6284   -4738.2530  0.2685 
   00172    0.6268   -4700.1400  0.2674 
   00173    0.6164   -4681.3582  0.2792 
   00174    0.6148   -4721.0860  0.2788 
   00175    0.6204   -4649.7624  0.2752 
   00176    0.6504   -4712.0426  0.2719 
   00177    0.6368   -4726.8371  0.2790 
   00178    0.6148   -4709.3820  0.2796 
   00179    0.6112   -4684.1060  0.2838 
   00180    0.6192   -4682.4505  0.2931 
   00181    0.6088   -4637.9970  0.3017 
   00182    0.6212   -4694.8003  0.2954 
   00183    0.6044   -4784.2414  0.2635 
   00184    0.6184   -4770.0501  0.2725 
   00185    0.6168   -4704.7710  0.2665 
   00186    0.6364   -4738.9433  0.2547 
   00187    0.6496   -4828.3272  0.2556 
   00188    0.6024   -4765.7607  0.2586 
   00189    0.6152   -4750.0821  0.2690 
   00190    0.6496   -4654.2393  0.2823 
   00191    0.6288   -4708.2407  0.2653 
   00192    0.6288   -4694.6070  0.2680 
   00193    0.6480   -4741.9018  0.2695 
   00194    0.6280   -4687.3409  0.2643 
   00195    0.6296   -4789.1268  0.2554 
   00196    0.6232   -4799.8098  0.2587 
   00197    0.6308   -4830.9446  0.2603 
   00198    0.6256   -4804.8401  0.2518 
   00199    0.6092   -4679.9842  0.2558 
   00200    0.6388   -4795.8223  0.2736 
