#=====================================================
# File created:        Tue-29-Oct-2024-at-02-49-33PM
# Size of lattice:     50x50
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        0.164469
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00139    0.4320   -8309.6106  0.2575 
   00140    0.4184   -8346.5326  0.2636 
   00141    0.4196   -8369.4627  0.2704 
   00142    0.4124   -8356.7521  0.2683 
   00143    0.4184   -8346.4224  0.2637 
   00144    0.4164   -8315.0279  0.2681 
   00145    0.4204   -8312.4893  0.2731 
   00146    0.4080   -8301.9694  0.2734 
   00147    0.4364   -8323.9905  0.2721 
   00148    0.4184   -8346.8575  0.2691 
   00149    0.4128   -8339.0493  0.2725 
   00150    0.4136   -8328.0747  0.2641 
   00151    0.4300   -8299.9257  0.2593 
   00152    0.4284   -8332.5388  0.2570 
   00153    0.4084   -8290.7407  0.2577 
   00154    0.4200   -8301.8710  0.2573 
   00155    0.4140   -8323.4912  0.2582 
   00156    0.4284   -8312.2468  0.2586 
   00157    0.4212   -8344.7313  0.2609 
   00158    0.4052   -8305.9216  0.2549 
   00159    0.4188   -8243.3182  0.2551 
   00160    0.4224   -8264.8277  0.2554 
   00161    0.4200   -8275.3968  0.2572 
   00162    0.4120   -8258.8374  0.2527 
   00163    0.4324   -8317.2657  0.2572 
   00164    0.4196   -8317.3154  0.2570 
   00165    0.4360   -8301.5679  0.2612 
   00166    0.4296   -8344.6572  0.2636 
   00167    0.4104   -8363.0544  0.2649 
   00168    0.4224   -8338.8896  0.2612 
   00169    0.4192   -8345.6740  0.2555 
   00170    0.4204   -8378.8575  0.2568 
   00171    0.4072   -8379.0523  0.2570 
   00172    0.4256   -8353.7107  0.2613 
   00173    0.4044   -8351.6799  0.2633 
   00174    0.4220   -8323.0863  0.2603 
   00175    0.4032   -8310.4885  0.2605 
   00176    0.4364   -8329.6553  0.2579 
   00177    0.4184   -8330.6208  0.2692 
   00178    0.4232   -8327.3678  0.2648 
   00179    0.4300   -8334.1697  0.2683 
   00180    0.4164   -8318.6186  0.2663 
   00181    0.4184   -8302.9179  0.2706 
   00182    0.4168   -8313.4313  0.2659 
   00183    0.4080   -8315.6640  0.2682 
   00184    0.4220   -8354.2711  0.2673 
   00185    0.4200   -8341.9607  0.2686 
   00186    0.4148   -8335.1289  0.2692 
   00187    0.4100   -8329.1559  0.2658 
   00188    0.4148   -8317.5752  0.2681 
   00189    0.4212   -8361.8129  0.2618 
   00190    0.4140   -8342.5017  0.2691 
   00191    0.4228   -8326.9263  0.2645 
   00192    0.4152   -8347.5075  0.2600 
   00193    0.4012   -8382.1182  0.2552 
   00194    0.4276   -8400.0552  0.2539 
   00195    0.3956   -8403.4782  0.2556 
   00196    0.4140   -8433.1364  0.2546 
   00197    0.3996   -8463.3863  0.2585 
   00198    0.3960   -8450.1558  0.2544 
   00199    0.4168   -8446.1376  0.2600 
   00200    0.4024   -8450.9707  0.2590 
