#=====================================================
# File created:        Tue-29-Oct-2024-at-02-02-34PM
# Size of lattice:     50x50
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        0.141373
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00139    0.4004   -8329.2901  0.3518 
   00140    0.4000   -8347.4397  0.3469 
   00141    0.4360   -8362.4434  0.3515 
   00142    0.4304   -8351.0538  0.3519 
   00143    0.4048   -8394.2506  0.3529 
   00144    0.4160   -8432.8355  0.3543 
   00145    0.4188   -8400.2930  0.3499 
   00146    0.4116   -8394.7713  0.3519 
   00147    0.3908   -8420.4362  0.3512 
   00148    0.4192   -8482.4593  0.3485 
   00149    0.4096   -8472.0491  0.3541 
   00150    0.4088   -8472.1999  0.3546 
   00151    0.4232   -8468.3628  0.3542 
   00152    0.4244   -8458.5851  0.3546 
   00153    0.4248   -8433.2281  0.3543 
   00154    0.4204   -8420.4586  0.3482 
   00155    0.4088   -8445.4785  0.3508 
   00156    0.4120   -8468.2701  0.3467 
   00157    0.4008   -8463.3724  0.3456 
   00158    0.4156   -8444.4268  0.3371 
   00159    0.4180   -8476.6502  0.3323 
   00160    0.4264   -8476.4713  0.3375 
   00161    0.4104   -8440.7132  0.3375 
   00162    0.4280   -8422.4629  0.3407 
   00163    0.4332   -8428.7119  0.3397 
   00164    0.4056   -8394.4778  0.3457 
   00165    0.3908   -8355.0400  0.3444 
   00166    0.4132   -8345.1211  0.3419 
   00167    0.4112   -8362.1876  0.3417 
   00168    0.4252   -8366.7610  0.3458 
   00169    0.4328   -8356.2868  0.3452 
   00170    0.4112   -8336.9791  0.3465 
   00171    0.4144   -8308.1063  0.3465 
   00172    0.4144   -8363.5903  0.3388 
   00173    0.4152   -8374.7773  0.3353 
   00174    0.4056   -8388.1464  0.3335 
   00175    0.4064   -8393.2164  0.3367 
   00176    0.4156   -8420.6622  0.3376 
   00177    0.4336   -8387.4362  0.3458 
   00178    0.3996   -8357.8431  0.3510 
   00179    0.4192   -8415.0879  0.3570 
   00180    0.4176   -8412.4205  0.3593 
   00181    0.4172   -8439.9536  0.3599 
   00182    0.4152   -8437.3489  0.3637 
   00183    0.4136   -8443.4375  0.3622 
   00184    0.4128   -8429.0996  0.3678 
   00185    0.4032   -8466.5061  0.3721 
   00186    0.4008   -8412.2284  0.3697 
   00187    0.4064   -8438.4956  0.3717 
   00188    0.4144   -8423.0438  0.3686 
   00189    0.4248   -8407.1714  0.3757 
   00190    0.4240   -8395.0213  0.3770 
   00191    0.4172   -8412.7295  0.3746 
   00192    0.4208   -8468.0079  0.3777 
   00193    0.4156   -8462.1863  0.3874 
   00194    0.4112   -8465.9973  0.3896 
   00195    0.4100   -8475.3916  0.3891 
   00196    0.4096   -8477.4363  0.3858 
   00197    0.4172   -8509.9261  0.3908 
   00198    0.4264   -8481.6010  0.3960 
   00199    0.4204   -8487.6698  0.3922 
   00200    0.4324   -8462.1389  0.3909 
