#=====================================================
# File created:        Tue-29-Oct-2024-at-02-47-24PM
# Size of lattice:     50x50
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        2.257158
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00139    0.4328   -8309.6480  0.3718 
   00140    0.4016   -8283.0546  0.3709 
   00141    0.4040   -8292.1782  0.3741 
   00142    0.3980   -8279.1656  0.3700 
   00143    0.4192   -8304.8335  0.3713 
   00144    0.4344   -8360.3678  0.3784 
   00145    0.4104   -8297.9114  0.3727 
   00146    0.4028   -8308.4186  0.3729 
   00147    0.4304   -8320.8088  0.3723 
   00148    0.4220   -8276.4874  0.3727 
   00149    0.4112   -8285.1634  0.3753 
   00150    0.4184   -8286.6983  0.3750 
   00151    0.4256   -8265.9277  0.3750 
   00152    0.4096   -8266.3857  0.3795 
   00153    0.4064   -8288.7630  0.3772 
   00154    0.4056   -8300.1061  0.3821 
   00155    0.4104   -8305.6935  0.3739 
   00156    0.4260   -8305.5583  0.3792 
   00157    0.4260   -8311.4286  0.3769 
   00158    0.4284   -8308.6788  0.3753 
   00159    0.4220   -8310.5982  0.3706 
   00160    0.4112   -8295.9449  0.3734 
   00161    0.3972   -8316.3991  0.3754 
   00162    0.4000   -8298.6232  0.3720 
   00163    0.3980   -8297.9430  0.3742 
   00164    0.4160   -8323.4536  0.3735 
   00165    0.4236   -8306.4074  0.3695 
   00166    0.3904   -8271.1325  0.3678 
   00167    0.4056   -8270.4192  0.3770 
   00168    0.4184   -8279.9638  0.3765 
   00169    0.4076   -8279.6624  0.3691 
   00170    0.4172   -8334.4960  0.3716 
   00171    0.4148   -8342.5755  0.3672 
   00172    0.4104   -8369.9921  0.3680 
   00173    0.3952   -8376.5182  0.3721 
   00174    0.4220   -8325.9391  0.3745 
   00175    0.3980   -8336.0359  0.3763 
   00176    0.3864   -8348.5423  0.3766 
   00177    0.4124   -8391.4750  0.3807 
   00178    0.4144   -8350.3871  0.3771 
   00179    0.4180   -8310.6625  0.3814 
   00180    0.4232   -8346.1775  0.3837 
   00181    0.3976   -8325.4317  0.3861 
   00182    0.4084   -8232.9060  0.3854 
   00183    0.4084   -8261.3882  0.3828 
   00184    0.4108   -8309.1996  0.3856 
   00185    0.3864   -8293.0761  0.3866 
   00186    0.4224   -8300.0417  0.3879 
   00187    0.3952   -8303.0963  0.3856 
   00188    0.4044   -8320.2193  0.3917 
   00189    0.4132   -8328.3574  0.3933 
   00190    0.4100   -8318.9784  0.3948 
   00191    0.4196   -8293.8547  0.3870 
   00192    0.4144   -8298.5222  0.3870 
   00193    0.4220   -8340.2776  0.3887 
   00194    0.4372   -8313.3284  0.3849 
   00195    0.4208   -8337.7858  0.3838 
   00196    0.4068   -8301.4091  0.3850 
   00197    0.4148   -8271.7737  0.3777 
   00198    0.4020   -8310.6350  0.3769 
   00199    0.4220   -8331.6884  0.3767 
   00200    0.4068   -8306.1782  0.3838 
