         1005431 function calls (990802 primitive calls) in 0.998 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.000    0.000 __init__.py:198(split)
       20    0.000    0.000    0.000    0.000 colors.py:1189(reversed)
       24    0.000    0.000    0.000    0.000 dviread.py:220(decorate)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       46    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
      684    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       74    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
       18    0.000    0.000    0.000    0.000 cycler.py:415(cycler)
        1    0.000    0.000    0.000    0.000 pathlib.py:281(_make_selector)
        1    0.000    0.000    0.000    0.000 axis.py:43(Tick)
     1448    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     1364    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      200    0.000    0.000    0.000    0.000 pyplot.py:164(_copy_docstring_and_deprecators)
       20    0.000    0.000    0.000    0.000 pathlib.py:484(_parse_args)
      142    0.000    0.000    0.000    0.000 inspect.py:1790(_shadowed_dict)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2802(NavigationToolbar2)
        1    0.000    0.000    0.000    0.000 pathlib.py:349(__init__)
       14    0.000    0.000    0.000    0.000 typing.py:1636(copy_with)
     12/2    0.000    0.000    0.000    0.000 core.py:1503(makeOptionalList)
      170    0.000    0.000    0.000    0.000 colors.py:953(copy)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:192(compile_pattern)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
      618    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      142    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       39    0.000    0.000    0.000    0.000 pathlib.py:546(__fspath__)
        3    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
      698    0.000    0.000    0.000    0.000 ast.py:255(iter_fields)
        1    0.000    0.000    0.000    0.000 helpers.py:14(delimited_list)
       40    0.000    0.000    0.000    0.000 colors.py:1149(__init__)
        1    0.000    0.000    0.000    0.000 axis.py:596(Axis)
        1    0.000    0.000    0.000    0.000 rcsetup.py:1345(<dictcomp>)
       12    0.000    0.000    0.000    0.000 pathlib.py:504(_from_parts)
        2    0.000    0.000    0.000    0.000 pathlib.py:1111(mkdir)
        1    0.000    0.000    0.000    0.000 widgets.py:344(Slider)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:571(get_cachedir)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1617(_ip_int_from_string)
      131    0.000    0.000    0.000    0.000 core.py:1915(__eq__)
      409    0.000    0.000    0.000    0.000 copyreg.py:104(__newobj__)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
       11    0.000    0.000    0.000    0.000 core.py:1663(__call__)
      410    0.000    0.000    0.000    0.000 enum.py:239(__init__)
       18    0.000    0.000    0.000    0.000 cycler.py:474(_cycler)
       49    0.000    0.000    0.000    0.000 pathlib.py:536(__str__)
        9    0.000    0.000    0.000    0.000 pathlib.py:868(__new__)
        8    0.000    0.000    0.000    0.000 core.py:561(_setResultsName)
      822    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
      130    0.000    0.000    0.000    0.000 colors.py:967(__init__)
      123    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 geo.py:246(AitoffAxes)
        1    0.000    0.000    0.000    0.000 _color_data.py:989(<dictcomp>)
       13    0.000    0.000    0.000    0.000 textwrap.py:470(indent)
        6    0.000    0.000    0.000    0.000 enum.py:1514(__or__)
  148/107    0.000    0.000    0.000    0.000 typing.py:1394(__hash__)
        1    0.000    0.000    0.000    0.000 widgets.py:615(RangeSlider)
       77    0.000    0.000    0.000    0.000 enum.py:933(_check_for_existing_members_)
      199    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     2363    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       27    0.000    0.000    0.000    0.000 __init__.py:1378(_fixupParents)
      398    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
  270/145    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
       52    0.000    0.000    0.000    0.000 enum.py:979(_find_data_type_)
      170    0.000    0.000    0.000    0.000 colors.py:771(__copy__)
        1    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
       18    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
       32    0.000    0.000    0.000    0.000 <frozen _collections_abc>:941(update)
        1    0.000    0.000    0.000    0.000 widgets.py:3738(LassoSelector)
       30    0.000    0.000    0.000    0.000 rcsetup.py:52(__init__)
       14    0.000    0.000    0.000    0.000 core.py:8222(__init__)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
       41    0.000    0.000    0.000    0.000 typing.py:1591(<genexpr>)
       39    0.000    0.000    0.000    0.000 _compiler.py:388(<listcomp>)
       23    0.000    0.000    0.000    0.000 pathlib.py:56(parse_parts)
      614    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 transforms.py:84(TransformNode)
      256    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1568(<genexpr>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:588(_repr_fn)
        6    0.000    0.000    0.000    0.000 deprecation.py:242(__set_name__)
        2    0.000    0.000    0.000    0.000 dataclasses.py:624(_cmp_fn)
       18    0.000    0.000    0.000    0.000 cycler.py:206(_from_iter)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
      496    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        4    0.000    0.000    0.000    0.000 colors.py:1679(_make_norm_from_scale)
        3    0.000    0.000    0.000    0.000 _fontconfig_pattern.py:59(comma_separated)
        6    0.000    0.000    0.000    0.000 patches.py:2271(<listcomp>)
      308    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       56    0.000    0.000    0.000    0.000 typing.py:1679(<genexpr>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
       23    0.000    0.000    0.000    0.000 core.py:4948(__init__)
       44    0.000    0.000    0.000    0.000 results.py:533(copy)
      841    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
       14    0.000    0.000    0.000    0.000 core.py:8227(getdoc)
    85/57    0.000    0.000    0.000    0.000 typing.py:1695(__hash__)
      356    0.000    0.000    0.000    0.000 inspect.py:300(ismethod)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1209(_parse_octet)
      448    0.000    0.000    0.000    0.000 colors.py:348(<genexpr>)
        1    0.000    0.000    0.000    0.000 backend_bases.py:153(RendererBase)
      162    0.000    0.000    0.000    0.000 rcsetup.py:140(validate_bool)
       18    0.000    0.000    0.000    0.000 cycler.py:364(by_key)
     1876    0.000    0.000    0.000    0.000 __init__.py:847(<lambda>)
       65    0.000    0.000    0.000    0.000 deprecation.py:99(deprecated)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
       85    0.000    0.000    0.000    0.000 _parser.py:453(_uniq)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:99(Disposal)
       38    0.000    0.000    0.000    0.000 typing.py:306(_deduplicate)
        1    0.000    0.000    0.000    0.000 _parser.py:569(__init__)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       39    0.000    0.000    0.000    0.000 core.py:2981(_generateDefaultName)
      183    0.000    0.000    0.000    0.000 textwrap.py:482(prefixed_lines)
        1    0.000    0.000    0.000    0.000 patches.py:2658(ConnectionStyle)
        1    0.000    0.000    0.000    0.000 _iotools.py:450(StringConverter)
      199    0.000    0.000    0.000    0.000 _parser.py:963(fix_flags)
        1    0.000    0.000    0.000    0.000 image.py:1034(NonUniformImage)
        1    0.000    0.000    0.000    0.000 dates.py:208(__getattr__)
        1    0.000    0.000    0.000    0.000 gridspec.py:26(GridSpecBase)
      508    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.000    0.000 collections.py:27(Collection)
        1    0.000    0.000    0.000    0.000 widgets.py:1341(TextBox)
        1    0.000    0.000    0.000    0.000 _parser.py:294(__init__)
        1    0.000    0.000    0.000    0.000 __config__.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
       19    0.000    0.000    0.000    0.000 artist.py:24(_prevent_rasterization)
        1    0.000    0.000    0.000    0.000 widgets.py:996(CheckButtons)
       34    0.000    0.000    0.000    0.000 numeric.py:150(ones)
        1    0.000    0.000    0.000    0.000 common.py:422(<listcomp>)
        1    0.000    0.000    0.000    0.000 backend_tools.py:29(Cursors)
        1    0.000    0.000    0.000    0.000 contour.py:72(ContourLabeler)
       50    0.000    0.000    0.000    0.000 enum.py:772(__getattr__)
      400    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 cbook.py:815(Grouper)
     1136    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 geo.py:341(MollweideAxes)
       15    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        3    0.000    0.000    0.000    0.000 pathlib.py:909(home)
        7    0.000    0.000    0.000    0.000 core.py:5590(__add__)
        1    0.000    0.000    0.000    0.000 unicode.py:118(pyparsing_unicode)
      170    0.000    0.000    0.000    0.000 colors.py:677(__init__)
       32    0.000    0.000    0.000    0.000 colors.py:497(<setcomp>)
       10    0.000    0.000    0.000    0.000 core.py:4147(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 widgets.py:3814(PolygonSelector)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
      553    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
      316    0.000    0.000    0.000    0.000 rcsetup.py:878(_convert_validator_spec)
       63    0.000    0.000    0.000    0.000 inspect.py:2063(_signature_is_builtin)
        1    0.000    0.000    0.000    0.000 transforms.py:2106(IdentityTransform)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 core.py:450(DebugActions)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
      690    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 texmanager.py:1(<module>)
       24    0.000    0.000    0.000    0.000 results.py:431(__iadd__)
      442    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       18    0.000    0.000    0.000    0.000 arrayprint.py:1571(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 table.py:37(Cell)
      199    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        1    0.000    0.000    0.000    0.000 ExifTags.py:360(LightSource)
        1    0.000    0.000    0.000    0.000 backend_managers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 geo.py:413(LambertAxes)
       28    0.000    0.000    0.000    0.000 __init__.py:1447(__init__)
       31    0.000    0.000    0.000    0.000 __init__.py:228(_acquireLock)
        2    0.000    0.000    0.000    0.000 core.py:2278(__init__)
        2    0.000    0.000    0.000    0.000 pathlib.py:313(select_from)
        1    0.000    0.000    0.000    0.000 tokenize.py:299(detect_encoding)
      268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
      331    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6527(__new__)
      314    0.000    0.000    0.000    0.000 overrides.py:128(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:578(_ReducedHCT_Element)
        1    0.000    0.000    0.000    0.000 abc.py:56(Traversable)
      377    0.000    0.000    0.000    0.000 typing.py:916(__eq__)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:3056(ToolHandles)
       36    0.000    0.000    0.000    0.000 core.py:4148(<genexpr>)
        7    0.000    0.000    0.000    0.000 _parser.py:309(_convert)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
        1    0.000    0.000    0.000    0.000 patches.py:4054(FancyArrowPatch)
      160    0.000    0.000    0.000    0.000 shape_base.py:608(_column_stack_dispatcher)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _adapters.py:42(CompatibilityFiles)
        1    0.000    0.000    0.000    0.000 cbook.py:539(_get_data_path)
      102    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      394    0.000    0.000    0.000    0.000 inspect.py:1762(_static_getmro)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lines.py:216(Line2D)
        1    0.000    0.000    0.000    0.000 helpers.py:1061(<listcomp>)
        1    0.000    0.000    0.000    0.000 rcsetup.py:97(<listcomp>)
        1    0.000    0.000    0.000    0.000 text.py:80(Text)
        1    0.000    0.000    0.000    0.000 transforms.py:211(BboxBase)
       52    0.000    0.000    0.000    0.000 core.py:3819(<genexpr>)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 polar.py:18(PolarTransform)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1597(_make_netmask)
      791    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x0000020B328D31A0}
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:238(reload_library)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
       12    0.000    0.000    0.000    0.000 datetime.py:592(__new__)
        2    0.000    0.000    0.000    0.000 enum.py:922(<dictcomp>)
        1    0.000    0.000    0.000    0.000 patches.py:1259(Arrow)
       28    0.000    0.000    0.000    0.000 pathlib.py:657(stem)
        2    0.000    0.000    0.000    0.000 {built-in method nt.mkdir}
        6    0.000    0.000    0.000    0.000 numeric.py:2536(extend_all)
      318    0.000    0.000    0.000    0.000 __init__.py:781(__iter__)
        1    0.000    0.000    0.000    0.000 pickle.py:1137(_Unpickler)
        6    0.000    0.000    0.000    0.000 patches.py:2264(<listcomp>)
        1    0.000    0.000    0.000    0.000 streamplot.py:1(<module>)
      347    0.000    0.000    0.000    0.000 typing.py:1388(__eq__)
      836    0.000    0.000    0.000    0.000 inspect.py:3015(parameters)
       67    0.000    0.000    0.000    0.000 results.py:191(__getitem__)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:198(update_user_library)
        2    0.000    0.000    0.000    0.000 tokenize.py:323(read_or_stop)
        1    0.000    0.000    0.000    0.000 unicode.py:85(identchars)
        1    0.000    0.000    0.000    0.000 patches.py:2293(BoxStyle)
       78    0.000    0.000    0.000    0.000 util.py:111(set_)
       33    0.000    0.000    0.000    0.000 contextlib.py:299(helper)
        1    0.000    0.000    0.000    0.000 colors.py:78(<dictcomp>)
        1    0.000    0.000    0.000    0.000 cp1252.py:22(decode)
        2    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 widgets.py:2945(ToolLineHandles)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        3    0.000    0.000    0.000    0.000 core.py:1613(__invert__)
        1    0.000    0.000    0.000    0.000 spines.py:14(Spine)
        1    0.000    0.000    0.000    0.000 contextlib.py:78(inner)
       22    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
        1    0.000    0.000    0.000    0.000 version.py:36(_Version)
        1    0.000    0.000    0.000    0.000 widgets.py:4182(Lasso)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
       21    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
       30    0.000    0.000    0.000    0.000 rcsetup.py:64(<dictcomp>)
       58    0.000    0.000    0.000    0.000 typing.py:1310(__getattr__)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
        3    0.000    0.000    0.000    0.000 six.py:882(wrapper)
        3    0.000    0.000    0.000    0.000 core.py:4739(__init__)
      713    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
       96    0.000    0.000    0.000    0.000 rcsetup.py:66(__call__)
        1    0.000    0.000    0.000    0.000 patches.py:670(Rectangle)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:249(dirname)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
       34    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
      154    0.000    0.000    0.000    0.000 core.py:757(preParse)
        1    0.000    0.000    0.000    0.000 offsetbox.py:208(OffsetBox)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
      539    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 patches.py:3807(FancyBboxPatch)
        1    0.000    0.000    0.000    0.000 bezier.py:1(<module>)
       12    0.000    0.000    0.000    0.000 dataclasses.py:723(_get_field)
        4    0.000    0.000    0.000    0.000 ast.py:54(literal_eval)
      232    0.000    0.000    0.000    0.000 typing.py:1687(__eq__)
      222    0.000    0.000    0.000    0.000 transforms.py:1329(<genexpr>)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quiver.py:443(Quiver)
       51    0.000    0.000    0.000    0.000 colors.py:394(<genexpr>)
       83    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
      126    0.000    0.000    0.000    0.000 inspect.py:1783(_is_type)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1212(AnnotationBbox)
       63    0.000    0.000    0.000    0.000 inspect.py:2426(_descriptor_get)
       18    0.000    0.000    0.000    0.000 arrayprint.py:506(wrapper)
       41    0.000    0.000    0.000    0.000 _parser.py:316(_class_escape)
        1    0.000    0.000    0.000    0.000 contour.py:716(ContourSet)
        1    0.000    0.000    0.000    0.000 _enums.py:27(JoinStyle)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1157(_make_netmask)
       18    0.000    0.000    0.000    0.000 cycler.py:135(__init__)
       78    0.000    0.000    0.000    0.000 util.py:108(get)
      248    0.000    0.000    0.000    0.000 patches.py:2271(<genexpr>)
      816    0.000    0.000    0.000    0.000 inspect.py:2726(default)
        1    0.000    0.000    0.000    0.000 patches.py:4394(ConnectionPatch)
       49    0.000    0.000    0.000    0.000 typing.py:1664(<genexpr>)
       20    0.000    0.000    0.000    0.000 mixins.py:16(_binary_method)
       19    0.000    0.000    0.000    0.000 __init__.py:132(check_shape)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
       14    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 gridspec.py:531(SubplotSpec)
       28    0.000    0.000    0.000    0.000 rcsetup.py:462(_validate_linestyle)
        2    0.000    0.000    0.000    0.000 core.py:3727(_setResultsName)
       11    0.000    0.000    0.000    0.000 rcsetup.py:336(_validate_cmap)
       31    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
        1    0.000    0.000    0.000    0.000 geo.py:249(AitoffTransform)
        3    0.000    0.000    0.000    0.000 pathlib.py:1377(expanduser)
       40    0.000    0.000    0.000    0.000 pathlib.py:523(_format_parsed_parts)
        1    0.000    0.000    0.000    0.000 widgets.py:1949(Cursor)
       47    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _mathtext.py:749(StixFonts)
       33    0.000    0.000    0.000    0.000 results.py:200(__setitem__)
      102    0.000    0.000    0.000    0.000 exceptions.py:24(__init__)
        8    0.000    0.000    0.000    0.000 pathlib.py:765(__truediv__)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
      383    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
        1    0.000    0.000    0.000    0.000 pathlib.py:112(_WindowsFlavour)
        4    0.000    0.000    0.000    0.000 inspect.py:3047(__hash__)
        2    0.000    0.000    0.000    0.000 <frozen genericpath>:39(isdir)
      222    0.000    0.000    0.000    0.000 transforms.py:1335(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:582(get_data_path)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1969(<listcomp>)
       29    0.000    0.000    0.000    0.000 cbook.py:1337(_to_unmasked_float_array)
      242    0.000    0.000    0.000    0.000 core.py:3614(<genexpr>)
       10    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x0000020B3183A660}
       11    0.000    0.000    0.000    0.000 enum.py:918(<lambda>)
       28    0.000    0.000    0.000    0.000 pathlib.py:877(_make_child_relpath)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scale.py:201(LogTransform)
        1    0.000    0.000    0.000    0.000 testing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 unicode.py:99(identbodychars)
        8    0.000    0.000    0.000    0.000 core.py:5716(<genexpr>)
        8    0.000    0.000    0.000    0.000 pathlib.py:530(_make_child)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
        1    0.000    0.000    0.000    0.000 patches.py:27(Patch)
       31    0.000    0.000    0.000    0.000 warnings.py:467(__enter__)
        8    0.000    0.000    0.000    0.000 core.py:4758(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:1377(_missing_)
        1    0.000    0.000    0.000    0.000 Image.py:3666(Exif)
        1    0.000    0.000    0.000    0.000 transforms.py:2338(CompositeGenericTransform)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
       19    0.000    0.000    0.000    0.000 path.py:202(_update_values)
        1    0.000    0.000    0.000    0.000 Image.py:143(Transpose)
        5    0.000    0.000    0.000    0.000 typing.py:2071(__init_subclass__)
       18    0.000    0.000    0.000    0.000 transforms.py:56(_make_str_method)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
      160    0.000    0.000    0.000    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
      208    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      344    0.000    0.000    0.000    0.000 enum.py:798(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:2808(__new__)
        6    0.000    0.000    0.000    0.000 core.py:5711(<lambda>)
        1    0.000    0.000    0.000    0.000 win.py:34(_settzkeyname)
      449    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        1    0.000    0.000    0.000    0.000 core.py:134(Diagnostics)
       22    0.000    0.000    0.000    0.000 core.py:959(reset_cache)
       17    0.000    0.000    0.000    0.000 rcsetup.py:273(validate_color_or_auto)
       33    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
        1    0.000    0.000    0.000    0.000 geo.py:297(HammerTransform)
      234    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 numbers.py:267(Rational)
        2    0.000    0.000    0.000    0.000 core.py:528(set_results_name)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
       47    0.000    0.000    0.000    0.000 rcsetup.py:357(validate_fontsize)
        1    0.000    0.000    0.000    0.000 text.py:1615(Annotation)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
      131    0.000    0.000    0.000    0.000 core.py:1711(set_whitespace_chars)
        1    0.000    0.000    0.000    0.000 __init__.py:264(_reset_cache)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _factories.py:1(<module>)
       21    0.000    0.000    0.000    0.000 __init__.py:213(__getattr__)
        1    0.000    0.000    0.000    0.000 tz.py:1253(tzical)
        1    0.000    0.000    0.000    0.000 scale.py:348(SymmetricalLogTransform)
        1    0.000    0.000    0.000    0.000 core.py:2299(Literal)
        1    0.000    0.000    0.000    0.000 _docstring.py:1(<module>)
       63    0.000    0.000    0.000    0.000 inspect.py:2075(_signature_is_functionlike)
      170    0.000    0.000    0.000    0.000 textwrap.py:479(predicate)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1823(_MathStyle)
        1    0.000    0.000    0.000    0.000 rrule.py:1307(rruleset)
        2    0.000    0.000    0.000    0.000 rcsetup.py:441(_validate_papersize)
        1    0.000    0.000    0.000    0.000 deprecation.py:1(<module>)
        2    0.000    0.000    0.000    0.000 types.py:67(new_class)
        4    0.000    0.000    0.000    0.000 colors.py:1697(Norm)
      222    0.000    0.000    0.000    0.000 patches.py:2264(<genexpr>)
        1    0.000    0.000    0.000    0.000 datetime.py:1665(datetime)
        1    0.000    0.000    0.000    0.000 geo.py:344(MollweideTransform)
        1    0.000    0.000    0.000    0.000 quiver.py:870(Barbs)
        1    0.000    0.000    0.000    0.000 ExifTags.py:344(Interop)
      156    0.000    0.000    0.000    0.000 core.py:1924(__hash__)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ndim)
       15    0.000    0.000    0.000    0.000 copyreg.py:113(_slotnames)
        6    0.000    0.000    0.000    0.000 core.py:4879(__init__)
      317    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
       11    0.000    0.000    0.000    0.000 __init__.py:64(check_isinstance)
        1    0.000    0.000    0.000    0.000 path.py:24(Path)
       25    0.000    0.000    0.000    0.000 enum.py:360(__init__)
       31    0.000    0.000    0.000    0.000 warnings.py:488(__exit__)
        1    0.000    0.000    0.000    0.000 geo.py:272(InvertedAitoffTransform)
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _layoutgrid.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:1922(Arc)
        1    0.000    0.000    0.000    0.000 scale.py:243(InvertedLogTransform)
        3    0.000    0.000    0.000    0.000 __init__.py:503(PYFUNCTYPE)
        2    0.000    0.000    0.000    0.000 __init__.py:342(__init__)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polar.py:188(InvertedPolarTransform)
      172    0.000    0.000    0.000    0.000 <frozen _collections_abc>:835(__iter__)
       88    0.000    0.000    0.000    0.000 six.py:146(__init__)
