         1005431 function calls (990802 primitive calls) in 0.998 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      973    0.001    0.000    0.017    0.000 __init__.py:711(__setitem__)
        1    0.000    0.000    0.017    0.017 py3k.py:1(<module>)
     6024    0.010    0.000    0.017    0.000 inspect.py:2669(__init__)
        1    0.000    0.000    0.017    0.017 offsetbox.py:1(<module>)
    98311    0.017    0.000    0.017    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.016    0.016 image.py:1(<module>)
       48    0.000    0.000    0.016    0.000 __init__.py:225(compile)
      437    0.001    0.000    0.016    0.000 artist.py:1536(number_of_parameters)
       94    0.001    0.000    0.016    0.000 __init__.py:1391(_preprocess_data)
      268    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        1    0.000    0.000    0.016    0.016 lines.py:1(<module>)
        7    0.000    0.000    0.015    0.002 __init__.py:108(import_module)
        7    0.000    0.000    0.015    0.002 <frozen importlib._bootstrap>:1192(_gcd_import)
        1    0.000    0.000    0.015    0.015 _distributor_init.py:1(<module>)
      199    0.000    0.000    0.015    0.000 _compiler.py:573(_code)
        1    0.000    0.000    0.015    0.015 _parser.py:1(<module>)
10267/10221    0.004    0.000    0.014    0.000 {built-in method builtins.hasattr}
    67460    0.014    0.000    0.014    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.014    0.014 textpath.py:1(<module>)
        1    0.000    0.000    0.013    0.013 index_tricks.py:1(<module>)
        2    0.000    0.000    0.013    0.007 version.py:1(<module>)
      105    0.003    0.000    0.013    0.000 artist.py:170(<listcomp>)
      954    0.001    0.000    0.013    0.000 artist.py:1542(is_alias)
        1    0.000    0.000    0.012    0.012 secrets.py:1(<module>)
      317    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
151568/150559    0.012    0.000    0.012    0.000 {built-in method builtins.len}
      536    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      479    0.000    0.000    0.011    0.000 {built-in method builtins.next}
       60    0.000    0.000    0.011    0.000 __init__.py:829(_open_file_or_url)
        1    0.000    0.000    0.011    0.011 shutil.py:1(<module>)
